sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_bmasse,pl_orbeccen,st_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
1,1,1998,442.19,1.138,409.98,0.476,1.01,332.3748117,-7.5505962,21.2985,6.54348,4.799,6.34701
1,4,1998,60.83,0.20774,804.076,0.0338,0.34,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,1998,61.02,0.208,600.67,0.1,0.34,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,1998,60.85,0.21,670.59,0.27,0.34,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,1998,61.03474,0.2177,672.20708,0.002,0.37,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,1998,61.082,0.214,887.69135,0.027,0.34,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
2,1,1999,15.764,0.114,1284.0332,0.046,0.8,32.6224785,-50.8209945,10.7836,6.12,4.125,5.88516
1,1,1999,1075.3799,2.051,1825.28854,0.104,0.99,26.2324076,20.0826974,33.1205,6.28262,4.601,6.10286
1,1,1999,1075.2,2.131,1973.64,0.099,1.11,26.2324076,20.0826974,33.1205,6.28262,4.601,6.10286
1,1,1999,10.72,0.088,324.1866,0.044,0.79,221.8857975,-0.2820782,31.8766,8.04,6.234,7.83448
1,1,1999,10.7085,0.0896,330.53,0.011,0.84,221.8857975,-0.2820782,31.8766,8.04,6.234,7.83448
1,1,1999,10.721,0.09,346.43296,0.063,0.85,221.8857975,-0.2820782,31.8766,8.04,6.234,7.83448
1,2,1999,258.19,0.81,505.0,0.233,1.1,228.3675397,-25.3096721,26.1804,6.47,4.882,6.28994
1,2,1999,264.6,0.82,518.0629,0.37,1.05,228.3675397,-25.3096721,26.1804,6.47,4.882,6.28994
1,1,1999,23.646,0.146,200.2319,0.154,0.74,303.4990864,-0.8657574,19.6359,7.79,5.537,7.49558
1,1,1999,3.52474859,0.04707,216.76006,0.0081,1.12,330.7950219,18.8842419,48.3016,7.65,6.308,7.50866
1,1,1999,3.5239,0.046,197.05,0.0,1.03,330.7950219,18.8842419,48.3016,7.65,6.308,7.50866
2,1,1999,575.9,1.35,1681.25,0.71,1.0,355.4640788,-5.9862379,42.1586,7.68,6.173,7.51889
2,1,1999,3.5098,0.046,133.4886,0.024,1.15,131.9181715,-41.7377748,29.1158,6.35,5.012,6.21047
2,1,1999,3.508,0.047,146.2018,0.014,1.15,131.9181715,-41.7377748,29.1158,6.35,5.012,6.21047
2,1,1999,256.78,0.918,2682.37,0.673,1.56,155.5433193,41.2289354,38.6364,5.73469,4.454,5.60551
1,1,1999,312.0,0.91,676.9779,0.15,1.03,40.6417178,-50.7993484,17.3181,5.4,4.138,5.25587
1,1,1999,320.1,0.925,718.2958,0.161,1.03,40.6417178,-50.7993484,17.3181,5.4,4.138,5.25587
2,3,1999,241.258,0.827774,629.595,0.2596,1.3,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,3,1999,1276.46,2.51329,1313.22,0.2987,1.3,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,2,1999,407.37,1.18,428.43269,0.028,1.32,286.3363574,25.9204327,62.7674,7.18,4.809,6.8866
2,2,1999,410.10001,1.14,537.1327,0.1,1.7,286.3363574,25.9204327,62.7674,7.18,4.809,6.8866
2,2,1999,406.6,1.2218,473.547,0.009,1.47,286.3363574,25.9204327,62.7674,7.18,4.809,6.8866
2,1,1999,256.78,0.91,2517.11,0.689,1.21,155.5433193,41.2289354,38.6364,5.73469,4.454,5.60551
1,1,1999,1076.4,2.16,2027.7,0.1023,0.99,26.2324076,20.0826974,33.1205,6.28262,4.601,6.10286
1,1,1999,1075.69,2.14,2028.70889,0.1043,1.13,26.2324076,20.0826974,33.1205,6.28262,4.601,6.10286
1,1,1999,1075.65,2.156,2030.92352,0.0998,1.16,26.2324076,20.0826974,33.1205,6.28262,4.601,6.10286
1,1,1999,1075.5,2.143,2151.69832,0.1035,1.13,26.2324076,20.0826974,33.1205,6.28262,4.601,6.10286
2,1,1999,256.78,0.917,2653.8805,0.677,1.86,155.5433193,41.2289354,38.6364,5.73469,4.454,5.60551
2,3,1999,241.33,0.832,610.2336,0.224,1.15,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,3,1999,1278.1,2.53,1312.6379,0.267,1.15,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,3,1999,241.223,0.8265,624.53282,0.266,1.29,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,3,1999,1282.41,2.517,1303.09647,0.294,1.29,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
1,2,1999,258.251,0.818,516.15333,0.2281,1.09,228.3675397,-25.3096721,26.1804,6.47,4.882,6.28994
2,3,1999,240.9402,0.829,4443.24113,0.245,1.31,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,3,1999,1281.507,2.53,3257.74117,0.316,1.31,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
1,2,1999,258.17999,0.81,511.7063,0.23,1.1,228.3675397,-25.3096721,26.1804,6.47,4.882,6.28994
1,1,1999,3.52476,0.04634,211.35589,0.01,1.07,330.7950219,18.8842419,48.3016,7.65,6.308,7.50866
2,1,1999,572.537,1.335,2504.48785,0.7615,0.97,355.4640788,-5.9862379,42.1586,7.68,6.173,7.51889
2,1,1999,3.509267,0.0482,148.42661,0.034,1.21,131.9181715,-41.7377748,29.1158,6.35,5.012,6.21047
2,1,1999,572.38,1.347,2463.1,0.725,0.99,355.4640788,-5.9862379,42.1586,7.68,6.173,7.51889
1,2,1999,258.31,0.82,514.9,0.243,1.1,228.3675397,-25.3096721,26.1804,6.47,4.882,6.28994
2,1,1999,3.50927,0.05,155.7367,0.03,1.29,131.9181715,-41.7377748,29.1158,6.35,5.012,6.21047
2,1,1999,572.38,1.34,2660.2371,0.73,1.12,355.4640788,-5.9862379,42.1586,7.68,6.173,7.51889
1,1,1999,302.79999,0.92,721.4741,0.14,1.34,40.6417178,-50.7993484,17.3181,5.4,4.138,5.25587
1,1,1999,24.3556,0.15,177.9848,0.05,0.66,303.4990864,-0.8657574,19.6359,7.79,5.537,7.49558
1,1,1999,10.70871,0.0925,365.49,0.029,0.92,221.8857975,-0.2820782,31.8766,8.04,6.234,7.83448
1,1,1999,10.70867,0.0929,365.18484,0.015,0.93,221.8857975,-0.2820782,31.8766,8.04,6.234,7.83448
1,1,1999,24.3597,0.154,209.13109,0.04,0.82,303.4990864,-0.8657574,19.6359,7.79,5.537,7.49558
2,1,1999,15.76491,0.113,1242.66,0.0416,0.77,32.6224785,-50.8209945,10.7836,6.12,4.125,5.88516
1,1,1999,24.3556,0.1532,203.72,0.055,0.81,303.4990864,-0.8657574,19.6359,7.79,5.537,7.49558
2,1,1999,15.76491,0.11,1404.8086,0.04,0.93,32.6224785,-50.8209945,10.7836,6.12,4.125,5.88516
1,1,1999,24.3587,0.15312,232.96,0.008,0.81,303.4990864,-0.8657574,19.6359,7.79,5.537,7.49558
1,1,1999,24.348,0.15,228.83,0.0,0.75,303.4990864,-0.8657574,19.6359,7.79,5.537,7.49558
1,4,2000,30.259,0.132,273.32,0.265,0.33,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,2000,30.0881,0.12959,226.9846,0.25591,0.32,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,2000,30.0784,0.135989,266.2,0.2531,0.37,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,2,2000,262.709,0.8079,691.569,0.3768,1.02,31.1423525,25.4135632,37.8478,7.43,5.861,7.24746
1,4,2000,643.25,1.497,532.68308,0.128,1.08,266.0361585,-51.8348751,15.5981,5.12,3.683,4.94916
1,4,2000,743.0,1.65,626.1251,0.62,1.08,266.0361585,-51.8348751,15.5981,5.12,3.683,4.94916
1,4,2000,637.0,1.5,540.311,0.31,1.08,266.0361585,-51.8348751,15.5981,5.12,3.683,4.94916
1,2,2000,1753.1096,2.842,5500.33841,0.21,0.98,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
1,2,2000,225.67372,0.765,804.4237,0.294,1.17,276.9561859,-29.8167919,37.6048,5.9,4.688,5.77641
1,1,2000,3.093,0.045,266.9772,0.05,1.24,288.8890182,-24.1797939,27.4573,6.25,4.936,6.1106
2,1,2000,415.2,1.16,429.0705,0.058,1.2,64.1205476,-59.3028771,18.2704,4.44,1.745,4.14532
2,2,2000,14.3098,0.131,266.64813,0.257,1.48,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,14.3099,0.115,206.58846,0.256,0.98,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
2,2,2000,2127.60566,3.226,3299.05886,0.357,0.98,86.6451363,1.1675866,42.3538,5.92848,4.211,5.74796
